County,District
Angelina,1
Gregg,1
Harrison,1
Nacogdoches,1
Panola,1
Rusk,1
Sabine,1
San Augustine,1
Shelby,1
Smith,1
Upshur,1
Wood,1
Harris,2
Collin,3
Bowie,4
Camp,4
Cass,4
Collin,4
Delta,4
Fannin,4
Franklin,4
Grayson,4
Hopkins,4
Hunt,4
Lamar,4
Marion,4
Morris,4
Rains,4
Red River,4
Rockwall,4
Titus,4
Upshur,4
Anderson,5
Cherokee,5
Dallas,5
Henderson,5
Kaufman,5
Van Zandt,5
Wood,5
Ellis,6
Navarro,6
Tarrant,6
Harris,7
Grimes,8
Harris,8
Houston,8
Leon,8
Madison,8
Montgomery,8
San Jacinto,8
Trinity,8
Walker,8
Fort Bend,9
Harris,9
Austin,10
Bastrop (pt.),10
Colorado,10
Fayette,10
Harris (pt.),10
Lee (pt.),10
Travis (pt.),10
Waller,10
Washington,10
Andrews,11
Brown,11
Callahan,11
Coke,11
Coleman,11
Comanche,11
Concho,11
Dawson,11
Eastland,11
Ector,11
Erath,11
Glasscock,11
Hood,11
Irion,11
Kimble,11
Llano,11
Martin,11
Mason,11
McCulloch,11
Menard,11
Midland,11
Mills,11
Mitchell,11
Palo Pinto,11
Runnels,11
San Saba,11
Stephens,11
Sterling,11
Tom Green,11
Parker,12
Tarrant (pt.),12
Wise (pt.),12
Archer,13
Armstrong,13
Baylor,13
Briscoe,13
Carson,13
Childress,13
Clay,13
Collingsworth,13
Cooke,13
Cottle,13
Dallam,13
Deaf Smith,13
Dickens,13
Donley,13
Floyd (pt.),13
Foard,13
Gray,13
Hall,13
Hansford,13
Hardeman,13
Hartley,13
Hemphill,13
Hutchinson,13
Jack,13
King,13
Knox,13
Lipscomb,13
Montague,13
Moore,13
Motley,13
Ochiltree,13
Oldham,13
Potter,13
Randall,13
Roberts,13
Sherman,13
Swisher,13
Wheeler,13
Wichita,13
Wilbarger,13
Wise (pt.),13
Brazoria (pt.),14
Chambers (pt.),14
Galveston,14
Jefferson,14
Brooks,15
Duval,15
Guadalupe (pt.),15
Hidalgo (pt.),15
Jim Hogg,15
Karnes,15
Live Oak,15
Wilson (pt.),15
El Paso (pt.),16
Bastrop (pt.),17
Brazos,17
Burleson,17
Falls,17
Freestone,17
Lee (pt.),17
Leon (pt.),17
Limestone,17
McLennan,17
Milam,17
Robertson,17
Travis (pt.),17
Harris (pt.),18
Bailey,19
Borden,19
Castro,19
Cochran,19
Crosby,19
Fisher,19
Floyd (pt.),19
Gaines,19
Garza,19
Hale,19
Haskell,19
Hockley,19
Howard,19
Jones,19
Kent,19
Lamb,19
Lubbock,19
Lynn,19
Nolan,19
Parmer,19
Scurry,19
Shackelford,19
Stephens (pt.),19
Stonewall,19
Taylor,19
Terry,19
Throckmorton,19
Yoakum,19
Young,19
Bexar,20
Bandera,21
Bexar (pt.),21
Blanco,21
Comal (pt.),21
Gillespie,21
Hays (pt.),21
Kendall,21
Kerr,21
Real,21
Travis (pt.),21
Brazoria (pt.),22
Fort Bend (pt.),22
Harris (pt.),22
Bexar (pt.),23
Brewster,23
Crane,23
Crockett,23
Culberson,23
Dimmit,23
Edwards,23
El Paso (pt.),23
Frio,23
Hudspeth,23
Jeff Davis,23
Kinney,23
La Salle (pt.),23
Loving,23
Maverick,23
Medina,23
Pecos,23
Presidio,23
Reagan,23
Reeves,23
Schleicher,23
Sutton,23
Terrell,23
Upton,23
Uvalde,23
Val Verde,23
Ward,23
Winkler,23
Zavala,23
Dallas (pt.),24
Denton (pt.),24
Tarrant (pt.),24
Bell (pt.),25
Bosque,25
Burnet,25
Coryell,25
Erath (pt.),25
Hamilton,25
Hays (pt.),25
Hill,25
Johnson,25
Lampasas,25
Somervell,25
Tarrant (pt.),25
Travis (pt.),25
Dallas (pt.),26
Denton (pt.),26
Tarrant (pt.),26
Aransas,27
Bastrop (pt.),27
Caldwell (pt.),27
Calhoun,27
Gonzales (pt.),27
Jackson,27
Lavaca,27
Matagorda,27
Nueces,27
Refugio,27
San Patricio (pt.),27
Victoria,27
Wharton,27
Atascosa,28
Bexar (pt.),28
Hidalgo (pt.),28
La Salle (pt.),28
McMullen,28
Starr,28
Webb,28
Wilson (pt.),28
Zapata,28
Harris (pt.),29
Dallas (pt.),30
Bell (pt.),31
Williamson,31
Collin ,32
Dallas (pt.),32
Dallas (pt.),33
Tarrant (pt.),33
Bee,34
Cameron,34
DeWitt,34
Goliad,34
Gonzales (pt.),34
Hidalgo (pt.),34
Jim Wells,34
Kenedy,34
Kleberg,34
San Patricio (pt.),34
Willacy,34
Bexar,35
Caldwell (pt.),35
Comal (pt.),35
Guadalupe (pt.),35
Hays (pt.),35
Travis (pt.),35
Chambers (pt.),36
Hardin,36
Harris (pt.),36
Jasper,36
Liberty,36
Newton,36
Orange,36
Polk,36
Tyler,36